6571
YAL069W_CDS	334	182602	182602	1	13	0
YAL068W-A_CDS	537	791	182602	1	1	13
YAL068C_CDS	1806	2168	182602	2	1	14
YAL067W-A_CDS	2479	2706	182602	1	1	15
YAL067C_CDS	7234	9015	182602	2	1	16
YAL066W_CDS	10090	10398	182602	1	1	17
YAL065C_CDS	11564	11950	182602	2	1	18
YAL064W-B_CDS	12045	12425	182602	1	1	19
YAL064C-A_CDS	13362	13742	182602	2	1	20
YAL064W_CDS	21565	21849	182602	1	1	21
YAL063C-A_CDS	22394	22684	182602	2	1	22
YAL063C_CDS	23999	27967	182602	2	1	23
YAL062W_CDS	31566	32939	182602	1	1	24
YAL061W_CDS	33447	34700	182602	1	1	25
YAL060W_CDS	35154	36302	182602	1	1	26
YAL059C-A_CDS	36495	36917	182602	2	1	27
YAL059W_CDS	36508	37146	182602	1	1	28
YAL058W_CDS	37463	38971	182602	1	1	29
YAL056C-A_CDS	38695	39045	182602	2	1	30
YAL056W_CDS	39258	41900	182602	1	1	31
YAL055W_CDS	42176	42718	182602	1	1	32
YAL054C_CDS	42880	45021	182602	2	1	33
YAL053W_CDS	45898	48249	182602	1	1	34
YAL051W_CDS	48563	51706	182602	1	1	35
YAL049C_CDS	51854	52594	182602	2	1	36
YAL048C_CDS	52800	54788	182602	2	1	37
YAL047W-A_CDS	54583	54912	182602	1	1	38
YAL047C_CDS	54988	56856	182602	2	1	39
YAL046C_CDS	57028	57384	182602	2	1	40
YAL045C_CDS	57487	57795	182602	2	1	41
YAL044W-A_CDS	57517	57849	182602	1	1	42
YAL044C_CDS	57949	58461	182602	2	1	43
YAL043C_CDS	58694	61051	182602	2	1	44
YAL042C-A_CDS	61230	61607	182602	2	1	45
YAL042W_CDS	61315	62562	182602	1	1	46
YAL041W_CDS	62839	65403	182602	1	1	47
YAL040C_CDS	65777	67519	182602	2	1	48
YAL039C_CDS	68715	69524	182602	2	1	49
YAL038W_CDS	71785	73287	182602	1	1	50
YAL037C-B_CDS	72325	73299	182602	2	1	51
YAL037C-A_CDS	73425	73517	182602	2	1	52
YAL037W_CDS	74019	74822	182602	1	1	53
YAL036C_CDS	75042	76151	182602	2	1	54
YAL035W_CDS	76426	79434	182602	1	1	55
YAL034C-B_CDS	79488	79841	182602	2	1	56
YAL034W-A_CDS	79717	80586	182602	1	1	57
YAL034C_CDS	80709	81950	182602	2	1	58
YAL033W_CDS	82705	83226	182602	1	1	59
YAL032C_CDS	83334	84473	182602	2	1	60
YAL031W-A_CDS	84668	84976	182602	1	1	61
